rank,lemma,is_mwe,pos_guess,raw_freq,freq_per_million
1,o,0,det,124957,47024.932
2,ser,0,verb,99470,37433.437
3,que,0,conj,93297,35110.358
4,a,0,det,88050,33135.761
5,não,0,adv,76111,28642.770
6,de,0,prep,63426,23869.038
7,um,0,det,60415,22735.911
8,eu,0,pron,59202,22279.424
9,estar,0,verb,50341,18944.774
10,e,0,conj,41981,15798.664
11,ter,0,verb,39443,14843.541
12,ir,0,verb,33007,12421.488
13,se,0,conj,31233,11753.881
14,para,0,prep,27892,10496.566
15,tu,0,pron,24403,9183.554
16,ele,0,pron,23389,8801.957
17,meu,0,pron,19729,7424.593
18,fazer,0,verb,19670,7402.390
19,poder,0,verb,19591,7372.660
20,com,0,prep,19219,7232.665
21,do,0,det,18588,6995.202
22,saber,0,verb,17270,6499.200
23,por,0,prep,17246,6490.168
24,dizer,0,verb,17245,6489.792
25,querer,0,verb,17132,6447.267
26,o que,1,mwe,16179,6088.625
27,ma,0,unk,15062,5668.266
28,em,0,prep,14477,5448.114
29,da,0,det,13908,5233.983
30,como,0,adv,13858,5215.166
31,bem,0,adv,13246,4984.853
32,isso,0,pron,13149,4948.349
33,seu,0,pron,12784,4810.989
34,no,0,unk,11672,4392.511
35,ver,0,verb,10970,4128.328
36,muito,0,adv,10764,4050.804
37,este,0,pron,10564,3975.539
38,mais,0,adv,10557,3972.904
39,sim,0,adv,10490,3947.690
40,na,0,unk,9726,3660.175
41,aqui,0,pron,9436,3551.040
42,haver,0,verb,9240,3477.279
43,isto,0,pron,8629,3247.342
44,já,0,adv,8568,3224.386
45,bom,0,intj,8270,3112.240
46,todo,0,pron,8124,3057.296
47,dar,0,verb,8061,3033.587
48,ao,0,det,7458,2806.661
49,nos,0,unk,7441,2800.263
50,só,0,adv,7278,2738.922
51,coisa,0,noun,7242,2725.374
52,ela,0,pron,7027,2644.463
53,vir,0,verb,6983,2627.905
54,falar,0,verb,6916,2602.691
55,à,0,det,6857,2580.487
56,ficar,0,verb,6705,2523.285
57,lá,0,pron,6673,2511.243
58,tudo,0,adj,6625,2493.179
59,achar,0,verb,6572,2473.234
60,é que,1,mwe,6539,2460.815
61,quem,0,pron,6296,2369.367
62,eles,0,unk,6261,2356.195
63,pensar,0,verb,6110,2299.370
64,dever,0,verb,6057,2279.424
65,quando,0,conj,6026,2267.758
66,nada,0,noun,5987,2253.081
67,onde,0,pron,5753,2165.020
68,agora,0,adv,5715,2150.720
69,deixar,0,verb,5702,2145.827
70,não é,1,mwe,5615,2113.087
71,que é,1,mwe,5508,2072.820
72,é o,1,mwe,5393,2029.542
73,ou,0,conj,5368,2020.134
74,porque,0,conj,5365,2019.005
75,esse,0,pron,5242,1972.716
76,outro,0,pron,5235,1970.082
77,esperar,0,verb,5127,1929.438
78,precisar,0,verb,4753,1788.691
79,então,0,conj,4709,1772.133
80,algum,0,pron,4683,1762.348
81,ouvir,0,verb,4674,1758.961
82,nó,0,unk,4660,1753.693
83,mesmo,0,pron,4610,1734.876
84,vez,0,unk,4587,1726.221
85,homem,0,noun,4560,1716.060
86,nosso,0,pron,4217,1586.979
87,conseguir,0,verb,4079,1535.046
88,é um,1,mwe,4066,1530.153
89,teu,0,pron,4064,1529.401
90,dia,0,noun,4013,1510.208
91,passar,0,verb,4005,1507.197
92,dos,0,det,3985,1499.671
93,gostar,0,verb,3869,1456.017
94,assim,0,conj,3746,1409.728
95,tempo,0,noun,3742,1408.223
96,nunca,0,adv,3731,1404.083
97,parecer,0,verb,3681,1385.267
98,levar,0,verb,3673,1382.256
99,até,0,prep,3667,1379.998
100,casa,0,noun,3650,1373.601
101,pai,0,unk,3638,1369.085
102,também,0,conj,3620,1362.311
103,tua,0,noun,3612,1359.300
104,dinheiro,0,noun,3520,1324.678
105,sair,0,verb,3446,1296.829
106,senhor,0,unk,3429,1290.432
107,melhor,0,adv,3375,1270.110
108,noite,0,unk,3369,1267.852
109,ainda,0,adv,3329,1252.799
110,matar,0,verb,3286,1236.617
111,vida,0,noun,3195,1202.371
112,doi,0,unk,3170,1192.963
113,olhar,0,verb,3167,1191.834
114,tão,0,adv,3151,1185.812
115,talvez,0,adv,3145,1183.554
116,chamar,0,verb,3122,1174.899
117,encontrar,0,verb,3090,1162.856
118,favor,0,unk,3090,1162.856
119,morrer,0,verb,3076,1157.588
120,voltar,0,verb,3056,1150.061
121,nem,0,conj,3052,1148.556
122,andar,0,verb,3040,1144.040
123,ano,0,unk,2969,1117.321
124,chegar,0,verb,2968,1116.944
125,quê,0,unk,2955,1112.052
126,dele,0,pron,2907,1093.988
127,acontecer,0,verb,2853,1073.666
128,certo,0,noun,2816,1059.742
129,pessoa,0,noun,2760,1038.668
130,é uma,1,mwe,2759,1038.291
131,mulher,0,verb,2735,1029.260
132,das,0,det,2733,1028.507
133,sem,0,prep,2723,1024.744
134,claro,0,noun,2714,1021.357
135,sentir,0,verb,2710,1019.851
136,tentar,0,verb,2667,1003.669
137,grande,0,noun,2652,998.024
138,depois,0,adv,2613,983.347
139,aí,0,pron,2609,981.842
140,por favor,1,mwe,2609,981.842
141,sobre,0,prep,2607,981.089
142,conhecer,0,verb,2581,971.305
143,aquele,0,pron,2572,967.918
144,obrigar,0,verb,2565,965.284
145,amigo,0,noun,2554,961.144
146,sempre,0,adv,2513,945.715
147,acabar,0,verb,2505,942.704
148,alguém,0,unk,2380,895.663
149,novo,0,noun,2326,875.341
150,tipo,0,noun,2301,865.933
151,está bem,1,mwe,2299,865.180
152,ninguém,0,unk,2295,863.675
153,rapaz,0,unk,2278,857.277
154,pelo,0,noun,2261,850.880
155,olá,0,intj,2256,848.998
156,primeiro,0,num,2217,834.321
157,mãe,0,unk,2208,830.934
158,contar,0,verb,2169,816.257
159,merda,0,noun,2166,815.128
160,quanto,0,pron,2161,813.247
161,perder,0,verb,2111,794.430
162,entrar,0,verb,2110,794.054
163,pouco,0,adv,2089,786.151
164,acreditar,0,verb,2076,781.259
165,trabalho,0,noun,2075,780.882
166,arma,0,noun,2073,780.130
167,problema,0,noun,2049,771.098
168,filho,0,noun,2044,769.216
169,hora,0,noun,2044,769.216
170,antes,0,adv,2040,767.711
171,ajudar,0,verb,2038,766.958
172,algo,0,noun,2027,762.819
173,verdade,0,noun,2022,760.937
174,oh,0,intj,1986,747.389
175,viver,0,verb,1928,725.562
176,pela,0,noun,1925,724.433
177,cá,0,pron,1915,720.670
178,qual,0,pron,1892,712.014
179,qualquer,0,pron,1857,698.843
180,usar,0,verb,1855,698.090
181,parar,0,verb,1851,696.585
182,pedir,0,verb,1821,685.295
183,gajo,0,noun,1815,683.037
184,começar,0,verb,1806,679.650
185,trazer,0,verb,1803,678.521
186,lembrar,0,verb,1792,674.381
187,querido,0,noun,1766,664.597
188,eu sei,1,mwe,1756,660.834
189,carro,0,noun,1747,657.447
190,comigo,0,pron,1739,654.436
191,num,0,unk,1734,652.554
192,tirar,0,verb,1732,651.802
193,pôr,0,verb,1720,647.286
194,pois,0,conj,1713,644.651
195,procurar,0,verb,1673,629.598
196,nenhum,0,pron,1672,629.222
197,daqui,0,unk,1662,625.459
198,fora,0,noun,1639,616.803
199,apena,0,noun,1630,613.416
200,mão,0,noun,1623,610.782
201,hoje,0,adv,1619,609.277
202,às,0,det,1614,607.395
203,disso,0,noun,1580,594.600
204,tomar,0,verb,1576,593.094
205,continuar,0,verb,1572,591.589
206,nome,0,unk,1554,584.815
207,lado,0,noun,1524,573.525
208,certeza,0,noun,1505,566.375
209,tratar,0,verb,1502,565.246
210,esquecer,0,verb,1493,561.859
211,menos,0,adv,1489,560.354
212,embora,0,conj,1469,552.827
213,por isso,1,mwe,1462,550.193
214,tudo bem,1,mwe,1460,549.440
215,entender,0,verb,1459,549.064
216,três,0,num,1458,548.688
217,muito bem,1,mwe,1457,548.311
218,mal,0,adv,1447,544.548
219,alguma coisa,1,mwe,1443,543.043
220,pagar,0,verb,1436,540.408
221,dela,0,pron,1435,540.032
222,nas,0,unk,1424,535.892
223,trabalhar,0,verb,1410,530.624
224,vós,0,pron,1410,530.624
225,mil,0,num,1402,527.613
226,mundo,0,noun,1402,527.613
227,importar,0,verb,1401,527.237
228,dentro,0,adv,1396,525.355
229,tanto,0,adv,1394,524.603
230,si,0,pron,1383,520.463
231,ligar,0,verb,1374,517.076
232,vosso,0,pron,1371,515.947
233,numa,0,noun,1358,511.055
234,volta,0,noun,1356,510.302
235,obrigado,0,intj,1349,507.668
236,uma coisa,1,mwe,1347,506.915
237,apanhar,0,verb,1339,503.904
238,perceber,0,verb,1330,500.517
239,caso,0,conj,1329,500.141
240,comprar,0,verb,1316,495.249
241,lugar,0,verb,1313,494.120
242,aos,0,det,1310,492.991
243,desculpar,0,verb,1302,489.980
244,polícia,0,noun,1302,489.980
245,minuto,0,noun,1298,488.475
246,parte,0,unk,1290,485.464
247,seguir,0,verb,1285,483.583
248,velho,0,noun,1278,480.948
249,razão,0,noun,1266,476.432
250,preocupar,0,verb,1264,475.680
251,amar,0,verb,1262,474.927
252,cidade,0,noun,1260,474.174
253,sério,0,noun,1259,473.798
254,onde está,1,mwe,1258,473.422
255,mandar,0,verb,1252,471.164
256,ali,0,pron,1236,465.143
257,desculpa,0,noun,1233,464.014
258,porra,0,noun,1220,459.121
259,último,0,noun,1212,456.111
260,ideia,0,noun,1208,454.605
261,porquê,0,adv,1202,452.347
262,arranjar,0,verb,1189,447.455
263,pronto,0,noun,1182,444.821
264,abrir,0,verb,1175,442.186
265,ele está,1,mwe,1175,442.186
266,deles,0,unk,1174,441.810
267,sangue,0,unk,1163,437.671
268,contigo,0,noun,1141,429.391
269,tarde,0,adv,1137,427.886
270,aquilo,0,pron,1134,426.757
271,comer,0,verb,1130,425.252
272,pequeno,0,noun,1130,425.252
273,cabeça,0,noun,1087,409.070
274,história,0,noun,1087,409.070
275,fugir,0,verb,1085,408.317
276,entre,0,prep,1084,407.941
277,dormir,0,verb,1082,407.188
278,descobrir,0,verb,1080,406.435
279,único,0,adj,1075,404.554
280,tal,0,pron,1063,400.038
281,mudar,0,verb,1062,399.661
282,meio,0,num,1060,398.909
283,porta,0,noun,1045,393.264
284,momento,0,noun,1029,387.242
285,segundo,0,prep,1029,387.242
286,todos os,1,mwe,1028,386.866
287,semana,0,adj,1018,383.103
288,jogo,0,noun,996,374.824
289,ajuda,0,noun,994,374.071
290,desta,0,noun,990,372.566
291,perguntar,0,verb,989,372.189
292,morte,0,unk,985,370.684
293,buscar,0,verb,982,369.555
294,medo,0,noun,982,369.555
295,vá lá,1,mwe,976,367.297
296,roubar,0,verb,969,364.663
297,gente,0,adj,962,362.028
298,correr,0,verb,960,361.276
299,desde,0,prep,956,359.770
300,lixar,0,verb,956,359.770
301,calma,0,noun,955,359.394
302,dólar,0,verb,953,358.641
303,casar,0,verb,948,356.760
304,próprio,0,pron,946,356.007
305,irmão,0,noun,942,354.502
306,palavra,0,noun,940,353.749
307,sentar,0,verb,933,351.115
308,amanhã,0,adv,920,346.223
309,cara,0,noun,915,344.341
310,maneira,0,noun,913,343.588
311,meu deus,1,mwe,912,343.212
312,interessar,0,verb,907,341.330
313,receber,0,verb,906,340.954
314,compreender,0,verb,903,339.825
315,manter,0,verb,901,339.072
316,ganhar,0,verb,895,336.814
317,criança,0,noun,894,336.438
318,atrás,0,adv,892,335.685
319,calar,0,verb,887,333.804
320,cada,0,noun,884,332.675
321,raio,0,noun,879,330.793
322,olho,0,noun,875,329.288
323,tornar,0,verb,874,328.911
324,morto,0,noun,873,328.535
325,cuidado,0,noun,872,328.159
326,lamentar,0,verb,871,327.782
327,quarto,0,num,867,326.277
328,cima,0,noun,861,324.019
329,frente,0,adj,861,324.019
330,quase,0,adv,860,323.643
331,pergunta,0,noun,854,321.385
332,feliz,0,unk,849,319.503
333,beber,0,verb,847,318.751
334,enquanto,0,conj,847,318.751
335,pode ser,1,mwe,845,317.998
336,carta,0,noun,843,317.245
337,miúdo,0,noun,843,317.245
338,jogar,0,verb,841,316.493
339,existir,0,verb,840,316.116
340,telefone,0,unk,840,316.116
341,importante,0,unk,838,315.364
342,causa,0,noun,832,313.106
343,sorte,0,unk,832,313.106
344,idiota,0,noun,820,308.590
345,servir,0,verb,819,308.213
346,forma,0,noun,816,307.084
347,pegar,0,verb,810,304.826
348,vampiro,0,noun,810,304.826
349,perto,0,adv,809,304.450
350,amor,0,unk,803,302.192
351,quer dizer,1,mwe,803,302.192
352,sozinho,0,adj,803,302.192
353,disto,0,noun,801,301.439
354,da minha,1,mwe,798,300.310
355,durante,0,prep,798,300.310
356,contra,0,prep,797,299.934
357,milhão,0,num,797,299.934
358,vivo,0,noun,796,299.558
359,ok,0,intj,794,298.805
360,senhora,0,noun,792,298.052
361,meu pai,1,mwe,787,296.171
362,bonito,0,noun,777,292.408
363,nisso,0,noun,775,291.655
364,família,0,noun,772,290.526
365,partir,0,verb,771,290.150
366,negócio,0,noun,767,288.644
367,vender,0,verb,763,287.139
368,número,0,noun,760,286.010
369,caminho,0,adj,756,284.505
370,jovem,0,noun,753,283.376
371,médico,0,adj,751,282.623
372,próximo,0,noun,749,281.870
373,junto,0,noun,748,281.494
374,tocar,0,verb,748,281.494
375,adorar,0,verb,744,279.989
376,maior,0,unk,740,278.483
377,doutor,0,unk,739,278.107
378,guerra,0,noun,738,277.731
379,humano,0,adj,735,276.602
380,tapete,0,unk,734,276.225
381,as pessoas,1,mwe,733,275.849
382,brincar,0,verb,731,275.096
383,menina,0,adj,730,274.720
384,meter,0,verb,730,274.720
385,quatro,0,num,728,273.967
386,belo,0,noun,724,272.462
387,todas as,1,mwe,724,272.462
388,boa noite,1,mwe,722,271.709
389,baixo,0,noun,719,270.580
390,ar,0,unk,718,270.204
391,neste,0,unk,714,268.699
392,lindo,0,noun,705,265.312
393,pá,0,unk,704,264.936
394,terra,0,noun,703,264.559
395,corpo,0,noun,701,263.807
396,logo,0,conj,697,262.301
397,manhã,0,unk,696,261.925
398,força,0,noun,694,261.172
399,casamento,0,noun,691,260.043
400,mexer,0,verb,688,258.914
401,rápido,0,noun,687,258.538
402,coronel,0,adj,686,258.162
403,cinco,0,num,683,257.033
404,pena,0,noun,683,257.033
405,foda,0,noun,677,254.775
406,mau,0,unk,675,254.022
407,culpar,0,verb,674,253.646
408,coração,0,noun,671,252.517
409,altura,0,noun,670,252.140
410,adeus,0,intj,667,251.011
411,deste,0,unk,667,251.011
412,decidir,0,verb,666,250.635
413,cavalo,0,noun,665,250.259
414,cair,0,verb,663,249.506
415,pé,0,unk,663,249.506
416,ordem,0,noun,658,247.624
417,esta noite,1,mwe,657,247.248
418,mostrar,0,verb,657,247.248
419,água,0,noun,657,247.248
420,mês,0,adj,655,246.495
421,alto,0,noun,654,246.119
422,bater,0,verb,654,246.119
423,rua,0,noun,654,246.119
424,marido,0,noun,653,245.743
425,as coisas,1,mwe,652,245.366
426,bastante,0,adv,643,241.979
427,pessoal,0,adj,643,241.979
428,valer,0,verb,638,240.098
429,agente,0,adj,634,238.593
430,estranho,0,noun,630,237.087
431,quero dizer,1,mwe,629,236.711
432,dedo,0,noun,628,236.335
433,apresentar,0,verb,626,235.582
434,significar,0,verb,626,235.582
435,afastar,0,verb,625,235.206
436,filha,0,noun,619,232.948
437,salvar,0,verb,615,231.442
438,disparar,0,verb,614,231.066
439,explicar,0,verb,612,230.313
440,outra vez,1,mwe,612,230.313
441,prova,0,noun,610,229.561
442,esconder,0,verb,609,229.184
443,fim,0,unk,607,228.432
444,fechar,0,verb,606,228.055
445,sim senhor,1,mwe,606,228.055
446,realmente,0,adv,604,227.303
447,seguro,0,noun,604,227.303
448,atirar,0,verb,601,226.174
449,cão,0,noun,601,226.174
450,possível,0,adj,600,225.797
451,deve ser,1,mwe,599,225.421
452,difícil,0,unk,599,225.421
453,capitão,0,noun,595,223.916
454,ah,0,intj,594,223.539
455,escrever,0,verb,594,223.539
456,passado,0,noun,593,223.163
457,apostar,0,verb,592,222.787
458,depressa,0,adv,592,222.787
459,aparecer,0,verb,590,222.034
460,exatamente,0,adv,590,222.034
461,mentir,0,verb,590,222.034
462,cheio,0,noun,588,221.281
463,aceitar,0,verb,578,217.518
464,ponte,0,unk,577,217.142
465,questão,0,noun,577,217.142
466,julgar,0,verb,576,216.765
467,cabo,0,noun,575,216.389
468,confiar,0,verb,574,216.013
469,acordar,0,verb,562,211.497
470,plano,0,adj,562,211.497
471,à espera,1,mwe,554,208.486
472,filme,0,unk,553,208.110
473,qualquer coisa,1,mwe,552,207.734
474,ler,0,verb,546,205.476
475,suficiente,0,adj,546,205.476
476,seis,0,num,545,205.099
477,cortar,0,verb,542,203.970
478,estúpido,0,noun,539,202.841
479,ontem,0,adv,539,202.841
480,paz,0,unk,539,202.841
481,demais,0,unk,537,202.089
482,aprender,0,verb,535,201.336
483,segurança,0,noun,534,200.960
484,preparar,0,verb,533,200.583
485,jantar,0,verb,532,200.207
486,animal,0,adj,530,199.454
487,festa,0,noun,522,196.444
488,destruir,0,verb,521,196.067
489,diferente,0,adj,521,196.067
490,prometer,0,verb,519,195.315
491,situação,0,noun,519,195.315
492,assassino,0,adj,518,194.938
493,prazer,0,verb,518,194.938
494,trás,0,prep,518,194.938
495,preferir,0,verb,517,194.562
496,bar,0,unk,514,193.433
497,teu pai,1,mwe,514,193.433
498,chefe,0,unk,513,193.057
499,responder,0,verb,511,192.304
500,vamos lá,1,mwe,511,192.304
501,culpa,0,noun,510,191.928
502,muito tempo,1,mwe,509,191.551
503,luz,0,unk,508,191.175
504,pelos,0,unk,508,191.175
505,colocar,0,verb,505,190.046
506,resto,0,noun,503,189.293
507,oficial,0,adj,501,188.541
508,verdadeiro,0,noun,501,188.541
509,bola,0,noun,499,187.788
510,terminar,0,verb,496,186.659
511,capaz,0,unk,495,186.283
512,enviar,0,verb,494,185.906
513,louco,0,adj,493,185.530
514,vontade,0,noun,493,185.530
515,diabo,0,noun,491,184.777
516,licença,0,noun,491,184.777
517,sítio,0,noun,491,184.777
518,à noite,1,mwe,491,184.777
519,criar,0,verb,490,184.401
520,facto,0,noun,489,184.025
521,demasiado,0,adv,488,183.649
522,funcionar,0,verb,487,183.272
523,alma,0,noun,485,182.520
524,cama,0,noun,485,182.520
525,bom dia,1,mwe,482,181.391
526,sala,0,noun,482,181.391
527,aguentar,0,verb,479,180.262
528,desejar,0,verb,479,180.262
529,rico,0,adj,479,180.262
530,assustar,0,verb,478,179.885
531,ei,0,unk,476,179.133
532,pelo menos,1,mwe,476,179.133
533,escola,0,noun,475,178.756
534,fácil,0,unk,471,177.251
535,longe,0,adv,470,176.875
536,general,0,adj,468,176.122
537,linha,0,adj,468,176.122
538,papel,0,adj,468,176.122
539,bebida,0,noun,467,175.746
540,notícia,0,noun,467,175.746
541,dizem,0,noun,466,175.369
542,assunto,0,noun,463,174.240
543,chorar,0,verb,461,173.488
544,tiro,0,noun,459,172.735
545,cabrão,0,noun,458,172.359
546,crer,0,verb,456,171.606
547,advogado,0,noun,455,171.230
548,desaparecer,0,verb,455,171.230
549,notar,0,verb,454,170.853
550,roupa,0,noun,454,170.853
551,boca,0,noun,453,170.477
552,café,0,unk,452,170.101
553,saco,0,noun,452,170.101
554,errar,0,verb,451,169.724
555,imaginar,0,verb,451,169.724
556,nesta,0,noun,449,168.972
557,subir,0,verb,448,168.595
558,além,0,adv,447,168.219
559,enganar,0,verb,447,168.219
560,odiar,0,verb,447,168.219
561,ponto,0,noun,446,167.843
562,comida,0,noun,444,167.090
563,levantar,0,verb,443,166.714
564,acordo,0,noun,442,166.337
565,dez,0,num,442,166.337
566,custar,0,verb,441,165.961
567,perna,0,noun,441,165.961
568,direito,0,noun,440,165.585
569,falta,0,noun,440,165.585
570,informação,0,noun,440,165.585
571,pior,0,adv,440,165.585
572,livro,0,noun,438,164.832
573,portanto,0,conj,438,164.832
574,minha mãe,1,mwe,436,164.079
575,nave,0,unk,436,164.079
576,metro,0,noun,435,163.703
577,resolver,0,verb,435,163.703
578,libra,0,noun,433,162.950
579,baixar,0,verb,430,161.821
580,casado,0,noun,430,161.821
581,esposa,0,noun,430,161.821
582,sequer,0,adv,429,161.445
583,às vezes,1,mwe,429,161.445
